location;time_of_measurement;counted_pedestrians;type;incidents
Rathausgasse, Freiburg;2020-01-06 00:09:28 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 00:14:02 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 00:19:46 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 00:26:56 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 00:42:23 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 00:48:41 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 01:07:28 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 01:23:26 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 01:37:15 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 01:51:37 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 02:04:14 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 02:05:54 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 02:31:16 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 02:31:16 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 02:59:15 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 03:51:34 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 04:34:46 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 04:35:11 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 04:41:14 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 04:58:19 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 05:11:45 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 05:22:28 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 05:28:16 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 05:33:15 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 05:47:03 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 05:56:23 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 06:42:04 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 06:44:30 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 06:49:39 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 06:51:08 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 07:18:35 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 07:23:38 +0100;5;regular;""
Rathausgasse, Freiburg;2020-01-06 07:26:26 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 07:42:19 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 07:48:56 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 07:58:07 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 08:02:04 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 08:08:33 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 08:10:04 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 08:15:09 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 08:24:57 +0100;5;regular;""
Rathausgasse, Freiburg;2020-01-06 08:29:28 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 08:34:59 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 08:40:38 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 08:49:40 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 08:59:00 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 09:01:06 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 09:04:27 +0100;6;regular;""
Rathausgasse, Freiburg;2020-01-06 09:09:00 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 09:13:25 +0100;5;regular;""
Rathausgasse, Freiburg;2020-01-06 09:15:30 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 09:15:32 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 09:23:00 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 09:23:12 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 09:27:02 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 09:30:05 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 09:32:47 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 09:36:48 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 09:37:36 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 09:43:53 +0100;8;regular;""
Rathausgasse, Freiburg;2020-01-06 09:48:48 +0100;8;regular;""
Rathausgasse, Freiburg;2020-01-06 09:51:08 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 09:52:17 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 09:58:49 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 09:59:22 +0100;9;regular;""
Rathausgasse, Freiburg;2020-01-06 10:00:28 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 10:04:52 +0100;10;regular;""
Rathausgasse, Freiburg;2020-01-06 10:09:44 +0100;8;regular;""
Rathausgasse, Freiburg;2020-01-06 10:14:03 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 10:16:22 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 10:18:20 +0100;7;regular;""
Rathausgasse, Freiburg;2020-01-06 10:24:25 +0100;14;regular;""
Rathausgasse, Freiburg;2020-01-06 10:29:59 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 10:34:24 +0100;8;regular;""
Rathausgasse, Freiburg;2020-01-06 10:39:23 +0100;7;regular;""
Rathausgasse, Freiburg;2020-01-06 10:43:05 +0100;11;regular;""
Rathausgasse, Freiburg;2020-01-06 10:49:48 +0100;10;regular;""
Rathausgasse, Freiburg;2020-01-06 10:53:30 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 10:54:35 +0100;9;regular;""
Rathausgasse, Freiburg;2020-01-06 10:57:31 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 10:59:23 +0100;8;regular;""
Rathausgasse, Freiburg;2020-01-06 11:04:23 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 11:09:26 +0100;21;regular;""
Rathausgasse, Freiburg;2020-01-06 11:12:06 +0100;5;regular;""
Rathausgasse, Freiburg;2020-01-06 11:18:34 +0100;9;regular;""
Rathausgasse, Freiburg;2020-01-06 11:18:35 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 11:24:43 +0100;11;regular;""
Rathausgasse, Freiburg;2020-01-06 11:24:46 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 11:25:19 +0100;1;regular;""
