location;time_of_measurement;counted_pedestrians;type;incidents
Stiftstraße, Stuttgart;2020-01-06 00:01:47 +0100;3;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:09:31 +0100;3;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:13:40 +0100;7;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:17:17 +0100;17;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:24:19 +0100;4;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:29:35 +0100;8;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:37:17 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:47:01 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:52:48 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 00:59:00 +0100;10;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:00:51 +0100;3;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:09:54 +0100;15;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:10:33 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:14:29 +0100;14;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:23:53 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:25:44 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:37:37 +0100;5;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:41:16 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 01:49:37 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 02:19:29 +0100;5;regular;""
Stiftstraße, Stuttgart;2020-01-06 02:20:24 +0100;3;regular;""
Stiftstraße, Stuttgart;2020-01-06 02:32:20 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 02:36:17 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 02:47:42 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 02:57:45 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 03:00:39 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 03:17:45 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 03:23:39 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 03:29:26 +0100;3;regular;""
Stiftstraße, Stuttgart;2020-01-06 03:39:44 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 03:48:32 +0100;6;regular;""
Stiftstraße, Stuttgart;2020-01-06 04:29:31 +0100;3;regular;""
Stiftstraße, Stuttgart;2020-01-06 04:37:48 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 04:50:54 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 04:59:46 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 05:18:43 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 05:24:04 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 05:25:10 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 05:33:51 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 05:40:38 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 05:50:35 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 05:57:44 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 06:04:28 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 06:05:43 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 06:20:32 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 06:29:18 +0100;4;regular;""
Stiftstraße, Stuttgart;2020-01-06 06:34:37 +0100;4;regular;""
Stiftstraße, Stuttgart;2020-01-06 06:35:10 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 07:12:50 +0100;1;regular;""
Stiftstraße, Stuttgart;2020-01-06 07:17:51 +0100;2;regular;""
Stiftstraße, Stuttgart;2020-01-06 07:23:04 +0100;3;regular;""
Stiftstraße, Stuttgart;2020-01-06 07:39:25 +0100;1;regular;""
