location;time_of_measurement;counted_pedestrians;type;incidents
Planken (Mitte), Mannheim;2020-03-04 00:02:11 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:04:40 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:08:37 +0100;5;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:11:36 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:14:35 +0100;11;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:17:46 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:18:03 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:23:02 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:24:51 +0100;14;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:25:31 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:29:38 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:32:32 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:33:43 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:37:30 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:37:39 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:44:08 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:44:09 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:51:50 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:54:58 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:57:58 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 00:59:00 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:00:25 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:04:52 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:08:29 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:17:23 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:23:51 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:24:46 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:27:14 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:27:46 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:32:28 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:41:02 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:41:06 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:46:30 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:47:03 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:52:36 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:58:47 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 01:58:49 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:03:53 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:09:41 +0100;21;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:09:41 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:13:08 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:13:36 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:17:51 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:21:45 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:25:48 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:26:29 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:30:09 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:32:52 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:35:28 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:44:50 +0100;6;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:46:42 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:46:47 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:54:40 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:55:32 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 02:55:35 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:03:58 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:06:48 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:09:28 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:12:54 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:12:56 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:19:37 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:29:11 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:29:39 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:29:40 +0100;6;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:32:56 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:34:11 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:42:13 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:42:18 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:48:53 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:49:22 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:51:42 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:57:47 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 03:57:50 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:04:32 +0100;9;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:04:59 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:09:57 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:12:19 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:13:28 +0100;25;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:13:28 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:24:32 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:27:00 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:32:31 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:34:07 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:36:22 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:36:22 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:45:13 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:47:58 +0100;12;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:50:50 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 04:57:00 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:03:08 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:06:17 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:13:17 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:17:47 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:18:08 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:22:33 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:23:18 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:24:38 +0100;10;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:26:58 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:29:05 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:32:03 +0100;8;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:32:11 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:33:45 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:35:41 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:39:01 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:43:41 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:44:25 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:46:04 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:51:45 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:54:31 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 05:59:13 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:03:19 +0100;14;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:04:37 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:05:48 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:08:35 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:08:36 +0100;13;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:12:28 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:14:58 +0100;10;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:18:17 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:19:55 +0100;12;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:24:03 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:24:53 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:24:54 +0100;24;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:29:38 +0100;13;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:29:53 +0100;7;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:33:16 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:34:22 +0100;28;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:39:53 +0100;16;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:39:58 +0100;10;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:42:48 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:43:08 +0100;12;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:46:26 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:47:47 +0100;6;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:49:09 +0100;6;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:54:31 +0100;7;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:54:59 +0100;28;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:59:24 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:59:33 +0100;40;regular;""
Planken (Mitte), Mannheim;2020-03-04 06:59:41 +0100;11;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:03:28 +0100;5;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:04:23 +0100;34;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:04:35 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:09:00 +0100;15;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:09:50 +0100;6;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:14:49 +0100;33;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:14:59 +0100;11;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:19:31 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:19:32 +0100;29;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:19:56 +0100;6;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:24:39 +0100;32;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:24:57 +0100;12;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:29:33 +0100;7;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:29:55 +0100;18;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:34:33 +0100;5;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:34:50 +0100;18;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:39:06 +0100;10;regular;""
Planken (Mitte), Mannheim;2020-03-04 07:39:58 +0100;16;regular;""
