location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Süd), Stuttgart;2020-01-06 06:33:37 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 06:37:08 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 06:43:58 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 06:49:08 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 06:54:06 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 06:59:47 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:04:36 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:06:53 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:13:58 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:18:34 +0100;11;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:21:17 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:29:08 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:34:17 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:34:27 +0100;15;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:39:08 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:40:32 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:46:40 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:54:35 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 07:59:15 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:04:41 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:09:35 +0100;6;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:14:30 +0100;12;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:18:16 +0100;9;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:23:28 +0100;6;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:27:51 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:34:36 +0100;6;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:39:25 +0100;11;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:44:44 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:49:27 +0100;8;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 08:54:35 +0100;12;regular;""
